ang,dist,classe
104,12,0
105,12,0
106,12,0
107,12,0
108,12,0
109,12,0
110,12,0
111,11,0
112,12,0
113,12,0
114,12,0
115,12,0
116,12,0
117,12,0
118,12,0
119,11,0
120,11,0
121,11,0
122,11,0
123,11,0
124,11,0
125,11,0
126,11,0
127,11,0
128,11,0
129,11,0
121,8,0
122,7,0
123,6,0
124,5,0
125,5,0
126,5,0
127,5,0
128,5,0
129,5,0
126,19,0
127,19,0
129,19,0
72,13,1
79,13,1
80,13,1
86,16,1
87,16,1
88,17,1
89,18,1
90,17,1
91,18,0
92,16,0
93,17,0
94,16,0
95,16,0
96,16,0
98,18,0
99,19,0
100,16,0
101,16,0
102,16,0
103,16,0
104,16,0
105,16,0
106,16,0
107,16,0
108,16,0
109,16,0
110,16,0
111,16,0
112,16,0
113,16,0
114,16,0
115,16,0
116,16,0
117,16,0
118,16,0
119,17,0
120,17,0
121,17,0
122,16,0
123,17,0
124,17,0
125,17,0



