a20,a40,a60,a80,a100,a120,a140,a160,coman2o
51,51,51,26,51,26,18,51,2
51,51,51,51,51,14,16,51,2
51,51,35,51,51,51,21,51,2
51,51,51,51,51,51,23,51,2
51,51,51,51,51,24,21,37,2
51,51,51,51,51,23,23,51,2
51,51,51,51,51,23,24,51,2
51,51,51,51,51,27,51,51,2
51,51,51,51,51,30,51,51,2
51,51,51,51,51,31,30,51,2
51,51,51,51,51,51,28,51,2
51,51,51,51,51,51,28,28,2
51,51,51,51,51,51,26,51,2
51,51,51,51,51,31,35,51,2
51,51,51,51,30,36,35,51,2
51,51,51,33,51,37,36,51,2
51,51,32,51,51,40,39,51,2
51,51,51,51,51,51,33,51,2
51,51,51,51,51,28,51,51,2
51,51,51,51,29,51,51,51,2
51,51,51,51,51,51,39,36,2
51,51,51,29,51,51,39,38,2
51,51,29,51,51,51,39,40,2
51,27,51,51,51,51,39,51,2
51,51,51,51,51,51,34,40,2
51,51,51,51,51,27,51,51,2
51,51,51,28,51,51,51,51,2
51,51,26,51,51,51,37,51,2
51,36,51,51,51,51,38,35,2
51,51,51,51,51,39,26,51,2
51,51,51,51,51,28,38,51,2
51,51,51,51,38,51,51,51,2
51,51,51,51,51,51,51,51,2
51,51,51,51,51,51,51,51,2
51,51,51,51,51,34,51,51,2
51,51,51,51,28,51,51,51,2
51,51,51,27,51,51,51,51,2
51,51,22,51,51,51,51,51,2
51,51,51,51,51,51,31,51,2
51,51,51,51,51,26,51,51,2
51,51,51,51,27,51,51,51,2
51,51,51,25,51,51,51,51,2
51,51,26,51,51,51,51,51,2
51,27,51,51,51,51,51,51,2
51,51,51,51,51,51,25,51,2
51,51,51,51,51,25,51,51,2
51,51,51,51,26,51,51,51,2
23,21,51,51,51,51,51,51,0
16,16,51,51,51,51,51,51,0
19,20,21,51,51,51,51,51,0
18,17,16,51,51,51,51,51,0
51,16,51,51,51,51,51,51,0
51,51,21,51,51,51,51,51,0
51,51,26,28,51,51,27,51,0
51,51,32,34,51,26,51,51,0
51,36,34,51,31,51,51,51,0
51,51,36,29,51,51,51,51,0
51,51,24,51,51,51,51,51,0
51,27,51,51,51,51,51,51,0
26,51,51,51,51,51,51,51,0
51,51,51,27,51,51,51,51,0
51,51,26,51,51,51,51,51,0
51,25,51,51,51,51,51,51,0
51,51,51,26,51,51,51,51,0
51,51,51,28,51,51,51,51,0
51,51,24,51,51,51,51,51,0
51,25,51,51,51,51,51,51,0
51,39,37,25,51,51,51,51,0
51,51,26,51,51,51,51,51,0
51,25,51,51,51,51,51,51,0
34,51,39,51,51,51,37,51,0
51,51,51,26,51,51,51,51,0
51,51,24,51,51,51,51,51,0
51,31,51,51,51,51,51,39,0
51,51,21,51,51,51,51,51,0
51,26,51,51,51,51,51,51,0
34,51,51,51,51,51,34,51,0
36,35,24,51,51,51,51,51,0
29,27,31,51,51,51,51,51,0
28,28,27,51,51,51,51,34,0
51,27,24,51,51,51,51,51,0
51,51,51,51,51,31,51,51,0

